Label,Berita
hoax,Gerhana matahari total besok akan menyebabkan semua listrik padam di seluruh Indonesia selama 12 jam.
hoax,Makan mie instan setiap hari bisa menyebabkan usus bocor dan gangguan pencernaan kronis.
hoax,Penduduk desa di Lombok melihat penampakan malaikat bersayap sedang turun dari langit membawa pesan damai.
hoax,"Pemerintah akan menerapkan jam malam nasional, semua aktivitas di luar rumah dilarang setelah pukul 21.00."
hoax,Konsumsi makanan cepat saji selama masa remaja meningkatkan risiko demensia pada usia muda.
hoax,"Penemuan ladang minyak terbesar di dunia di bawah Danau Toba, Sumatera Utara."
hoax,Seorang guru di Surabaya menculik 20 siswanya untuk dijadikan tumbal ritual ilmu hitam.
hoax,"Pemerintah mencabut semua ijazah sekolah yang dikeluarkan sebelum tahun 2000, harus ujian ulang."
hoax,Bunga bank akan naik hingga 50% dalam semalam karena krisis moneter global yang tak terhindarkan.
hoax,Minum kopi dicampur telur mentah adalah resep kuno yang dapat meningkatkan kesuburan wanita secara instan.
hoax,"Kapal feri di Selat Bali tenggelam akibat kelebihan muatan, menewaskan ratusan penumpang."
hoax,Semua tempat ibadah di Jakarta akan ditutup sementara waktu karena alasan keamanan yang tidak jelas.
hoax,"Penghapusan pajak kendaraan bermotor di seluruh Indonesia mulai tahun depan, kendaraan menjadi sangat murah."
hoax,Anak-anak yang tidur siang lebih dari 2 jam per hari berisiko mengalami obesitas ekstrem.
hoax,Ditemukan harta karun emas batangan senilai 500 triliun rupiah di bawah Tugu Monas Jakarta.
hoax,Seorang peramal terkenal memprediksi akan ada presiden wanita pertama di Indonesia pada tahun 2029.
hoax,Menggunakan bantal yang terlalu empuk dapat menyebabkan kelumpuhan saraf pada leher dan bahu.
hoax,Pemerintah akan mewajibkan semua warga negara melakukan *microdosing* ganja untuk tujuan kesehatan.
hoax,"Terjadi lonjakan kasus TBC di Jakarta karena polusi udara yang parah, rumah sakit penuh."
hoax,Hewan peliharaan yang divaksinasi akan mengalami perubahan genetik dan menjadi agresif.
hoax,Semua lampu lalu lintas di kota besar akan diganti dengan teknologi AI yang tidak bisa dimanipulasi.
hoax,Jalan tol layang Jakarta-Cikampek terancam ambruk karena kesalahan konstruksi dan kurangnya pengawasan.
hoax,Minum vitamin C dosis tinggi setiap hari bisa menggantikan kebutuhan akan makan dan minum.
hoax,Pulau Jawa dan Sumatera akan menyatu akibat pergeseran lempeng bumi yang sangat cepat.
hoax,Seorang nenek di Madura bisa menyembuhkan penyakit kronis hanya dengan sentuhan tangannya.
hoax,Polisi menangkap seorang *hacker* yang berhasil membobol sistem keamanan bank sentral Indonesia.
hoax,Semua produk mi instan impor dari negara Asia mengandung bahan pengawet yang dilarang.
hoax,Harga properti di Jakarta akan anjlok 90% karena ditinggalkan oleh banyak perusahaan besar.
hoax,Penduduk dunia diwajibkan menggunakan masker gas karena adanya polusi udara yang mematikan.
hoax,Menggunakan kacamata hitam di dalam ruangan dapat menyebabkan kerusakan permanen pada retina mata.
hoax,Badai salju besar diperkirakan akan melanda kawasan puncak Bogor dan Cianjur pada akhir tahun ini.
hoax,Uang logam pecahan Rp 1.000 bergambar kelapa sawit mengandung emas murni dan dijual mahal.
hoax,Ibu hamil yang sering makan seafood berisiko melahirkan bayi dengan cacat bawaan yang parah.
hoax,Pemerintah akan memberikan subsidi mobil listrik gratis bagi semua pekerja kantoran di Jakarta.
hoax,Penemuan rahasia bahwa piramida Giza dibangun oleh alien yang datang ke bumi ribuan tahun lalu.
hoax,Semua taman hiburan di Indonesia ditutup paksa karena masalah keamanan dan kecelakaan fatal.
hoax,Minum air putih saat bangun tidur bisa menghilangkan semua toksin dan membuat kulit bercahaya.
hoax,"Pemerintah melarang penjualan rokok di semua warung dan toko kecil, hanya boleh di supermarket besar."
hoax,Penduduk desa di Jawa Tengah melihat penampakan harimau Jawa yang sudah dinyatakan punah.
hoax,Air minum dalam kemasan mengandung mikroplastik dalam jumlah besar yang berbahaya bagi ginjal.
hoax,Seorang pria di Papua memiliki kekuatan super setelah tersambar petir saat badai besar.
hoax,Semua sekolah di Indonesia akan diubah menjadi sekolah *online* penuh waktu tanpa tatap muka lagi.
hoax,Menggunakan deodoran *antiperspirant* bisa menyebabkan penumpukan racun di ketiak dan kanker payudara.
hoax,Harga bawang merah dan cabai akan naik 10 kali lipat dalam seminggu karena gagal panen massal.
hoax,"Kapal pesiar terbesar di dunia tenggelam di perairan Internasional, menewaskan ribuan orang."
hoax,Semua tempat wisata di Bali akan ditarik oleh pemerintah pusat dan dikelola oleh BUMN.
hoax,Minum kopi pahit tanpa gula setiap hari bisa meningkatkan risiko serangan jantung mendadak.
hoax,Pemerintah akan menaikkan gaji minimum regional (UMR) sebesar 50% untuk semua provinsi.
hoax,Banjir rob merendam seluruh kawasan Pantai Indah Kapuk (PIK) Jakarta Utara selama seminggu penuh.
hoax,Anak-anak yang sering menggunakan *headphone* berisiko mengalami tuli permanen pada usia muda.
hoax,"Ditemukan fosil manusia purba yang usianya lebih tua dari yang pernah ditemukan di dunia, mengubah sejarah evolusi."
hoax,Memakai cincin di jari manis bisa menyembuhkan sakit kepala dan migrain kronis.
hoax,Pemerintah menetapkan hari libur nasional selama satu bulan penuh untuk mengatasi stres pascapandemi.
hoax,Semua pabrik di Jawa Timur akan ditutup karena melanggar peraturan lingkungan yang sangat ketat.
hoax,Makan buah-buahan saat perut kosong dapat menyebabkan asam lambung naik dan sakit perut.
hoax,Perusahaan listrik negara (PLN) akan mematikan listrik bergilir di seluruh Jawa dan Bali selama seminggu.
hoax,Penemuan sumur minyak bawah laut di perairan Natuna yang menghasilkan minyak kualitas terbaik dunia.
hoax,Seorang wanita di Medan melahirkan bayi kembar lima setelah menjalani program hamil alami.
hoax,Semua penumpang pesawat diwajibkan membawa sertifikat vaksin lengkap untuk penerbangan domestik.
hoax,Memasang stiker di mobil bisa menyebabkan mobil cepat rusak dan mengurangi nilai jualnya.
hoax,Pemerintah akan menerapkan sistem *e-voting* wajib untuk semua pemilihan umum di masa depan.
hoax,Minum air alkali setiap hari dapat mengubah pH darah menjadi basa dan mencegah semua penyakit.
hoax,PNS akan mendapatkan bonus akhir tahun sebesar 50 juta rupiah per orang tanpa terkecuali.
hoax,Pulau Kalimantan akan terbagi menjadi tiga negara baru karena adanya konflik politik internal.
hoax,Penduduk desa di Banten melihat penampakan naga terbang di atas Gunung Krakatau.
hoax,Semua gerai makanan cepat saji di Indonesia dilarang beroperasi karena masalah sanitasi.
hoax,Minyak atsiri tertentu dapat menyembuhkan demam berdarah dan malaria dalam waktu 24 jam.
hoax,Harga tanah di Ibu Kota Nusantara (IKN) naik 1000% dalam semalam setelah pengumuman proyek baru.
hoax,Seorang pasien di rumah sakit Jakarta tiba-tiba bisa berbicara dalam bahasa asing yang tidak pernah dia pelajari.
hoax,Pemerintah akan mengganti semua mata uang rupiah dengan mata uang digital baru.
hoax,Menggunakan kipas angin saat tidur bisa menyebabkan kekurangan oksigen dan kematian mendadak.
hoax,"Terjadi kebakaran hutan besar di Riau, asapnya mencapai negara tetangga Singapura dan Malaysia."
hoax,Semua produk susu kemasan mengandung hormon pertumbuhan yang berbahaya bagi anak-anak.
hoax,Penemuan obat anti-penuaan yang revolusioner dari ekstrak buah langka di pedalaman Papua.
hoax,Gubernur Jakarta mengundurkan diri secara mendadak karena alasan kesehatan yang dirahasiakan.
hoax,Memakai sepatu hak tinggi setiap hari dapat menyebabkan kelainan bentuk tulang belakang permanen.
hoax,Pemerintah akan mewajibkan semua warga negara memiliki asuransi kesehatan swasta yang mahal.
hoax,Penduduk desa di Sukabumi menemukan gua rahasia berisi peninggalan peradaban kuno yang hilang.
hoax,Semua *platform* media sosial luar negeri akan diblokir total di Indonesia mulai bulan depan.
hoax,Minum teh tanpa gula bisa membersihkan paru-paru dari polusi dan mencegah semua penyakit pernapasan.
hoax,Seorang selebgram terkenal ditangkap karena melakukan penipuan *online* bernilai miliaran rupiah.
hoax,Pemerintah akan membagikan sembako gratis kepada semua kepala keluarga di Indonesia setiap bulan.
hoax,"Peristiwa aneh terjadi di sungai Citarum, airnya tiba-tiba berubah warna menjadi merah darah."
hoax,Anak-anak yang tidak suka makan sayuran akan mengalami kekurangan gizi dan pertumbuhan terhambat.
hoax,"Ditemukan jejak kaki Bigfoot di kawasan Gunung Salak, Bogor, menjadi misteri bagi para peneliti."
hoax,Menggunakan *sunscreen* setiap hari dapat menyebabkan kekurangan vitamin D dan osteoporosis.
hoax,Pemerintah akan menutup semua toko retail kecil di kota besar untuk mendukung *supermarket* besar.
hoax,Minum jus buah kemasan setiap hari bisa menyebabkan diabetes dan obesitas ekstrem.
hoax,Terjadi pemadaman listrik total di seluruh Pulau Sumatera akibat kerusakan pada pembangkit utama.
hoax,Seorang nelayan di perairan Sulawesi menangkap ikan purba yang sudah dianggap punah.
hoax,Semua mobil bermesin diesel dilarang beroperasi di Jakarta mulai tahun depan karena polusi.
hoax,Mandi malam hari bisa menyebabkan rematik dan sakit tulang yang tidak bisa disembuhkan.
hoax,Pemerintah akan memberikan subsidi biaya sekolah gratis untuk semua jenjang pendidikan.
hoax,Penduduk desa di lereng Gunung Semeru melihat penampakan macan tutul yang sangat langka.
hoax,Semua produk elektronik yang dijual di Indonesia akan dikenakan pajak impor yang sangat tinggi.
hoax,Minum air dari sumur bor di Jakarta bisa menyebabkan keracunan logam berat berbahaya.
hoax,Seorang atlet Indonesia memenangkan medali emas di Olimpiade setelah menggunakan doping ilegal.
hoax,Pemerintah akan merelokasi semua penduduk yang tinggal di daerah rawan bencana ke tempat aman.
hoax,Menggunakan sabun antibakteri setiap hari dapat merusak mikrobioma kulit dan menurunkan imunitas.
hoax,Harga tiket kereta api antarkota naik 200% karena kenaikan biaya operasional yang tak terhindarkan.
hoax,"Ditemukan sisa-sisa perahu Nabi Nuh di puncak Gunung Kerinci, Jambi."
hoax,Meminum air hujan yang dikumpulkan langsung dari atap bisa menyembuhkan penyakit mata.
hoax,Pemerintah akan memblokir semua *website* luar negeri yang dianggap tidak sesuai dengan budaya Indonesia.
hoax,Semua produk makanan ringan mengandung bahan kimia adiktif yang berbahaya bagi kesehatan mental.
hoax,Terjadi pembobolan data nasabah besar-besaran di salah satu bank swasta terbesar di Indonesia.
hoax,Seorang seniman jalanan di Jakarta bisa menghasilkan uang 100 juta rupiah dalam sehari.
hoax,Pemerintah akan mengeluarkan uang koin baru yang terbuat dari campuran perak dan emas murni.
hoax,Menggunakan pewarna rambut setiap bulan bisa menyebabkan kanker kulit kepala dan kebotakan.
hoax,Harga gas elpiji akan naik dua kali lipat dalam waktu dekat karena kelangkaan pasokan.
hoax,Penduduk di sekitar Gunung Bromo melihat penampakan awan berbentuk wajah manusia raksasa.
hoax,Semua aplikasi *chatting* akan diwajibkan menyertakan iklan yang sangat mengganggu pengguna.
hoax,Minum air yang difilter dengan arang aktif setiap hari bisa membersihkan darah dari semua penyakit.
hoax,Seorang anggota DPRD ditemukan menerima suap senilai 5 miliar rupiah di ruang kerjanya.
hoax,Pemerintah akan menutup semua bandara kecil di Indonesia untuk fokus pada bandara internasional.
hoax,Menggunakan sarung tangan saat mengetik di komputer bisa meningkatkan risiko *carpal tunnel syndrome*.
hoax,Harga sewa apartemen di Jakarta turun 70% karena banyaknya unit yang kosong dan tidak laku.
hoax,Ditemukan berlian terbesar di dunia di salah satu tambang batu bara di Kalimantan Timur.
hoax,Memakan biji buah-buahan tertentu dapat menyebabkan keracunan sianida dan gagal napas.
hoax,Pemerintah akan membagikan *smartphone* gratis kepada semua siswa SD dan SMP di seluruh Indonesia.
hoax,"Terjadi wabah penyakit aneh di desa terpencil di Papua, menyebabkan penduduk berubah jadi zombie."
hoax,Semua produk deterjen pakaian mengandung bahan kimia yang merusak kulit dan menyebabkan iritasi.
hoax,Minum air panas yang mendidih setiap hari bisa membakar lapisan lambung dan menyebabkan ulser.
hoax,Seorang pilot pesawat di bandara Soekarno-Hatta pingsan saat akan lepas landas.
hoax,Pemerintah akan menaikkan pajak penghasilan hingga 70% untuk orang-orang berpenghasilan tinggi.
hoax,Menggunakan lensa kontak saat tidur dapat menyebabkan infeksi mata yang sulit diobati.
hoax,Harga gula pasir akan naik tiga kali lipat menjelang Lebaran karena penimbunan oleh distributor.
hoax,Penduduk desa di Sulawesi menemukan patung Buddha emas raksasa peninggalan masa lalu.
hoax,Semua layanan *streaming* film dan musik akan dikenakan biaya langganan yang sangat mahal.
hoax,Minum air yang sudah dimasak ulang berulang kali dapat memicu pembentukan zat karsinogenik.
hoax,Seorang selebriti terkenal di Indonesia ternyata adalah *agen* rahasia dari negara asing.
hoax,Pemerintah akan menutup semua pasar tradisional dan menggantinya dengan *supermarket* modern.
hoax,Menggunakan *charger* non-original bisa merusak baterai ponsel secara permanen dan menyebabkan ledakan.
hoax,Harga minyak goreng akan turun drastis hingga 5.000 rupiah per liter karena panen raya kelapa sawit.
hoax,"Ditemukan gua es raksasa di kawasan Puncak Jayawijaya, Papua, yang tidak pernah meleleh."
hoax,Meminum air laut yang disaring menggunakan kain bisa menyembuhkan penyakit kulit.
hoax,Pemerintah akan mewajibkan semua warga negara melakukan tes DNA untuk memverifikasi identitas.
hoax,Semua produk minuman ringan bersoda mengandung pemanis buatan yang menyebabkan gangguan mental.
hoax,Terjadi penemuan harta karun kapal VOC di dasar laut Jawa yang nilainya tak terhingga.
hoax,Seorang politikus ditemukan memiliki dua istri dan keduanya tidak saling mengetahui.
hoax,Pemerintah akan membagikan kupon gratis untuk semua kebutuhan pokok kepada keluarga miskin.
hoax,Menggunakan sepatu yang terlalu ketat dapat menyebabkan infeksi jamur kuku yang sulit disembuhkan.
hoax,Harga ikan di seluruh pasar tradisional akan naik 100% akibat badai besar di laut.
hoax,Penduduk desa di kaki Gunung Lawu melihat penampakan makhluk astral berkepala manusia.
hoax,Semua kartu SIM ponsel akan diblokir total jika tidak mendaftar ulang menggunakan KTP terbaru.
hoax,Minum kopi dicampur kayu manis setiap pagi bisa menurunkan berat badan 10 kg dalam seminggu.
hoax,Seorang pengusaha batubara ditemukan tewas mengenaskan di kamar hotel mewah di Jakarta.
hoax,Pemerintah akan membangun jembatan terpanjang di dunia yang menghubungkan Pulau Jawa dan Sumatera.
hoax,Menggunakan kacamata baca milik orang lain dapat menyebabkan kerusakan mata permanen.
hoax,Harga mobil bekas akan turun drastis karena banyaknya mobil baru yang dijual dengan harga murah.
hoax,Ditemukan pohon kelapa yang berbuah emas di pekarangan rumah seorang warga di Lampung.
hoax,Meminum air rendaman beras setiap hari bisa membersihkan ginjal dari batu ginjal yang membandel.
hoax,Pemerintah akan memberlakukan sistem tiket berbayar untuk masuk ke semua kota besar.
hoax,Semua produk sampo mengandung bahan kimia yang dapat menyebabkan kerontokan rambut parah.
hoax,Terjadi pemadaman listrik total selama tiga hari di seluruh Pulau Kalimantan karena sabotase.
hoax,Seorang remaja di Depok tiba-tiba bisa berbicara dalam bahasa Spanyol dengan lancar.
hoax,Pemerintah akan memberikan subsidi biaya pernikahan gratis bagi semua pasangan muda.
hoax,Menggunakan ponsel sambil *charge* dapat menyebabkan ledakan dan kebakaran hebat.
hoax,Harga sembako akan naik lima kali lipat menjelang akhir tahun karena krisis pangan global.
hoax,Penduduk desa di lereng Gunung Bromo menemukan sumber mata air panas yang menyembuhkan penyakit.
hoax,Semua media sosial diwajibkan menghapus akun yang tidak aktif selama lebih dari satu tahun.
hoax,Minum teh hijau setelah makan bisa mencegah penyerapan semua kalori dan lemak dalam makanan.
hoax,Seorang pejabat daerah tertangkap basah sedang berpesta narkoba di vila mewah di Puncak.
hoax,Pemerintah akan menutup semua minimarket yang beroperasi 24 jam di seluruh kota besar.
hoax,Menggunakan pakaian yang terlalu ketat dapat menyebabkan gangguan sirkulasi darah dan penyakit kulit.
hoax,Harga properti di Bali naik 500% karena banyaknya investor asing yang berburu tanah.
hoax,Ditemukan kapsul waktu peninggalan zaman Presiden Soekarno di bawah Istana Merdeka.
hoax,Meminum air rebusan jahe setiap malam bisa menghilangkan semua penyakit pernapasan kronis.
hoax,Pemerintah akan mewajibkan semua warga negara mengikuti program *work from home* selamanya.
hoax,Semua produk makanan dan minuman impor akan dikenakan pajak 90% untuk melindungi produk lokal.
hoax,"Terjadi invasi serangga raksasa di kawasan perkotaan Jakarta, membuat warga panik."
hoax,Seorang tukang becak di Yogyakarta memenangkan lotere senilai 100 miliar rupiah.
hoax,Pemerintah akan memberikan subsidi biaya kuliah gratis untuk semua program studi di PTN.
hoax,Menggunakan krim pemutih kulit yang dijual *online* bisa menyebabkan kanker kulit.
hoax,Harga cabai rawit akan turun drastis hingga 5.000 rupiah per kilo karena panen raya.
hoax,Penduduk desa di kaki Gunung Rinjani melihat penampakan burung Garuda raksasa.
hoax,Semua film bioskop akan diputar gratis selama sebulan penuh dalam rangka hari kemerdekaan.
hoax,Minum jus seledri setiap pagi bisa membersihkan darah dari semua toksin dan racun.
hoax,Seorang pilot pesawat komersial sengaja menabrakkan pesawatnya karena masalah pribadi.
hoax,Pemerintah akan menutup semua kafe dan restoran yang beroperasi setelah pukul 22.00 malam.
hoax,Menggunakan *earphone* dengan volume maksimal dapat menyebabkan kerusakan permanen pada pendengaran.
hoax,Harga sayuran di pasar tradisional akan turun drastis karena pasokan yang melimpah dari petani.
hoax,Ditemukan artefak kuno yang bisa memprediksi masa depan di sebuah situs purbakala di Sulawesi.
hoax,Meminum air perasan lemon setiap pagi dapat menghilangkan lemak perut dalam waktu singkat.
hoax,Pemerintah akan mewajibkan semua warga negara melakukan tes psikologi tahunan.
hoax,Semua produk elektronik yang tidak berlabel SNI akan ditarik dari pasaran dan dimusnahkan.
hoax,Terjadi penemuan sumber energi baru dari rumput laut yang bisa menggantikan bahan bakar fosil.
hoax,Seorang anak usia 5 tahun di Kalimantan memiliki kemampuan membaca pikiran orang lain.
hoax,Pemerintah akan memberikan subsidi biaya hidup bulanan sebesar 3 juta rupiah per keluarga.
hoax,Menggunakan *drone* di kawasan pemukiman akan dilarang total karena alasan privasi.
hoax,Harga bawang putih akan naik 10 kali lipat karena adanya *kartel* yang menimbun stok.
hoax,Penduduk desa di Pulau Weh menemukan koin emas kuno peninggalan kapal dagang lama.
hoax,Semua produk *hand sanitizer* mengandung alkohol yang bisa merusak kulit secara permanen.
hoax,Minum air dingin setelah berolahraga bisa menyebabkan serangan jantung mendadak.
hoax,Seorang dokter di Jakarta menemukan obat mujarab yang bisa menyembuhkan semua penyakit menular.
hoax,Pemerintah akan menutup semua sekolah swasta dan mewajibkan siswa pindah ke sekolah negeri.
hoax,Menggunakan *keyboard* komputer yang kotor dapat menyebabkan infeksi bakteri berbahaya.
hoax,Harga kopi impor akan naik 500% karena adanya larangan ekspor dari negara produsen.
hoax,"Ditemukan lubang raksasa di tengah kota Bandung, diduga menuju ke dimensi lain."
hoax,Meminum air rebusan kulit pisang bisa menghilangkan semua penyakit kulit kronis.
hoax,Pemerintah akan mewajibkan semua warga negara memiliki akun bank digital yang sama.
hoax,Semua produk kosmetik impor akan dilarang masuk ke Indonesia karena tidak aman.
hoax,Terjadi penemuan berlian hitam langka di sungai di daerah Jawa Barat.
hoax,Seorang politisi terkenal di Jakarta ternyata memiliki kewarganegaraan ganda.
hoax,Pemerintah akan menutup semua jalan tol di Jawa dan menggantinya dengan jalur kereta cepat.
hoax,Menggunakan *mouse* komputer yang ergonomis dapat menyebabkan *carpal tunnel syndrome*.
hoax,Harga tiket bus antarkota akan turun drastis karena adanya subsidi dari pemerintah.
hoax,Penduduk desa di pesisir utara Jawa melihat penampakan kapal selam asing.
hoax,Semua lampu penerangan jalan di Jakarta akan diganti dengan lampu bertenaga surya.
hoax,Minum air kelapa muda setiap hari bisa mencegah semua penyakit hati dan ginjal.
hoax,Seorang mahasiswa di Surabaya berhasil menciptakan mobil terbang bertenaga air.
hoax,Pemerintah akan memberikan subsidi biaya internet gratis kepada semua pelajar dan mahasiswa.
hoax,Menggunakan helm yang tidak ber-SNI bisa menyebabkan trauma kepala yang fatal saat kecelakaan.
hoax,Harga ayam potong akan naik 10 kali lipat karena adanya penyakit ternak menular.
hoax,Ditemukan hutan purba yang tersembunyi di bawah kota Bogor.
hoax,Meminum air rebusan akar pepaya bisa menyembuhkan penyakit diabetes dan kolesterol.
hoax,Pemerintah akan memberlakukan denda 50 juta rupiah bagi yang tidak menggunakan masker.
hoax,Semua produk makanan bayi impor mengandung bahan kimia yang berbahaya bagi kesehatan.
hoax,"Terjadi kebocoran gas beracun dari pabrik di Bekasi, seluruh penduduk diungsikan."
hoax,Seorang pria di Jakarta memenangkan lotre sebesar 200 miliar rupiah dan langsung kabur ke luar negeri.
hoax,Pemerintah akan memberikan subsidi biaya perumahan gratis bagi semua pasangan baru menikah.
hoax,Menggunakan *case* ponsel yang terlalu tebal dapat menyebabkan ponsel cepat panas dan meledak.
hoax,Harga bawang bombay akan turun drastis karena adanya pasokan impor yang sangat besar.
hoax,Penduduk desa di kaki Gunung Bromo melihat penampakan UFO berbentuk piringan besar.
hoax,Semua *website* pemerintah akan diblokir total selama seminggu karena peretasan masif.
hoax,Minum air dari dispenser yang tidak pernah dibersihkan bisa menyebabkan infeksi bakteri berat.
hoax,Seorang anggota DPR ditemukan memiliki puluhan rekening bank dengan total dana triliunan rupiah.
hoax,Pemerintah akan menutup semua toko *online* yang menjual produk impor tanpa izin resmi.
hoax,Menggunakan *power bank* yang *murahan* dapat merusak baterai ponsel secara permanen.
hoax,Harga tahu dan tempe akan naik 300% karena kelangkaan bahan baku kedelai.
